persona;producto;cantidad;esDevolucion
Alice;Pantalones;21;Falso
Bob;Bufanda;15;Falso
Diana;Bufanda;24;Falso
Eve;Zapatos;5;Cierto
Grace;Calcetines;15;Falso
Charlie;Zapatos;22;Falso
Alice;Zapatos;8;Falso
Jack;Zapatos;24;Falso
Grace;Gorra;39;Falso
Bob;Sombrero;21;Falso
Diana;Camiseta;30;Falso
Eve;Gorra;44;Falso
Hector;Calcetines;20;Falso
Jack;Camiseta;5;Falso
Diana;Camiseta;49;Falso
Bob;Pantalones;35;Cierto
Hector;Zapatos;38;Falso
Eve;Calcetines;44;Falso
Charlie;Chaqueta;19;Falso
Bob;Camiseta;30;Falso
Eve;Zapatos;17;Falso
Diana;Camiseta;39;Falso
Charlie;Gorra;14;Cierto
Frank;Camiseta;9;Cierto
Jack;Bufanda;23;Falso
Jack;Pantalones;47;Falso
Jack;Sombrero;49;Falso
Hector;Zapatos;49;Falso
Hector;Calcetines;44;Falso
Jack;Pantalones;13;Falso
Eve;Calcetines;11;Falso
Hector;Pantalones;5;Falso
Bob;Bufanda;42;Falso
Charlie;Bufanda;35;Falso
Charlie;Camiseta;18;Falso
Alice;Pantalones;8;Falso
Irene;Chaqueta;47;Cierto
Diana;Chaqueta;5;Falso
Alice;Camiseta;44;Falso
Jack;Camiseta;42;Falso
Charlie;Calcetines;43;Falso
Irene;Camiseta;18;Falso
Eve;Calcetines;6;Falso
Alice;Sombrero;41;Falso
Bob;Camiseta;26;Falso
Eve;Zapatos;29;Cierto
Alice;Chaqueta;38;Falso
Frank;Camiseta;12;Falso
Eve;Camiseta;13;Falso
Diana;Gorra;41;Falso
Charlie;Pantalones;25;Falso
Frank;Camiseta;27;Falso
Diana;Chaqueta;23;Falso
Hector;Bufanda;21;Falso
Irene;Chaqueta;8;Falso
Diana;Chaqueta;36;Falso
Irene;Calcetines;31;Cierto
Hector;Bufanda;28;Cierto
Diana;Gorra;32;Falso
Bob;Chaqueta;19;Falso
Hector;Bufanda;18;Falso
Jack;Camiseta;37;Cierto
Diana;Calcetines;15;Falso
Jack;Camiseta;11;Cierto
Jack;Bufanda;12;Falso
Frank;Gorra;21;Falso
Irene;Sombrero;22;Falso
Grace;Bufanda;11;Falso
Irene;Zapatos;49;Falso
Eve;Sombrero;25;Falso
Eve;Pantalones;34;Cierto
Grace;Zapatos;12;Falso
Irene;Chaqueta;17;Cierto
Diana;Sombrero;31;Falso
Diana;Sombrero;19;Cierto
Jack;Zapatos;27;Falso
Eve;Bufanda;36;Falso
Frank;Calcetines;20;Falso
Frank;Zapatos;29;Falso
Eve;Camiseta;35;Falso
Irene;Zapatos;35;Falso
Diana;Camiseta;27;Falso
Grace;Pantalones;38;Falso
Eve;Camiseta;26;Falso
Bob;Gorra;43;Falso
Jack;Zapatos;26;Falso
Bob;Bufanda;39;Falso
Irene;Camiseta;28;Falso
Jack;Bufanda;37;Falso
Diana;Sombrero;7;Falso
Alice;Sombrero;27;Falso
Bob;Zapatos;43;Falso
Alice;Bufanda;30;Falso
Grace;Calcetines;12;Cierto
Alice;Camiseta;43;Falso
Irene;Zapatos;48;Falso
Bob;Zapatos;28;Falso
Hector;Zapatos;29;Falso
Eve;Sombrero;43;Cierto
Charlie;Pantalones;6;Falso
Jack;Gorra;31;Falso
Irene;Zapatos;44;Falso
Hector;Gorra;10;Cierto
Bob;Pantalones;38;Falso
Charlie;Bufanda;31;Cierto
Eve;Chaqueta;44;Falso
Charlie;Bufanda;48;Falso
Irene;Calcetines;28;Cierto
Eve;Chaqueta;41;Falso
Frank;Chaqueta;17;Falso
Hector;Chaqueta;27;Falso
Irene;Pantalones;38;Falso
Jack;Pantalones;27;Falso
Bob;Zapatos;33;Falso
Charlie;Pantalones;9;Falso
Grace;Camiseta;37;Falso
Eve;Bufanda;13;Falso
Irene;Bufanda;33;Falso
Jack;Bufanda;32;Falso
Alice;Sombrero;7;Cierto
Eve;Bufanda;40;Falso
Diana;Bufanda;40;Falso
Diana;Calcetines;8;Falso
Hector;Camiseta;15;Falso
Bob;Sombrero;9;Falso
